year,month,region,people_assisted,meals_provided
2025,10,Hampden,69585,654085
2025,11,Hampden,67789,711205
2025,12,Hampden,47387,581273
2026,1,Hampden,50524,562546
2026,2,Hampden,51666,672927
2026,3,Hampden,55124,730083
2026,4,Hampden,56396,743711
2020,10,Hampshire,27319,252245
2020,11,Hampshire,29161,185675
2020,12,Hampshire,30376,171331
2021,1,Hampshire,28154,182283
2021,2,Hampshire,27918,208421
2021,3,Hampshire,30432,208201
2021,4,Hampshire,30176,186703
2021,5,Hampshire,29750,165284
2021,6,Hampshire,28874,170405
2021,7,Hampshire,29550,151673
2021,8,Hampshire,28813,162928
2021,9,Hampshire,28361,194433
2021,10,Hampshire,29331,238063
2021,11,Hampshire,30245,221912
2021,12,Hampshire,30354,206058
2022,1,Hampshire,28162,178342
2022,2,Hampshire,26215,169086
2022,3,Hampshire,30267,171817
2022,4,Hampshire,29996,173005
2022,5,Hampshire,30711,154978
2022,6,Hampshire,31240,149166
2022,7,Hampshire,30074,173888
2022,8,Hampshire,30795,167177
2022,9,Hampshire,29730,138507
2022,10,Hampshire,31469,190553
2022,11,Hampshire,25439,186709
2022,12,Hampshire,27462,152197
2023,1,Hampshire,22193,179737
2023,2,Hampshire,22469,148933
2023,3,Hampshire,25692,175158
2023,4,Hampshire,27946,180794
2023,5,Hampshire,29226,184120
2023,6,Hampshire,28650,172745
2023,7,Hampshire,28350,186627
2023,8,Hampshire,25147,207890
2023,9,Hampshire,23864,162649
2023,10,Hampshire,26405,240908
2023,11,Hampshire,29978,229756
2023,12,Hampshire,30399,185755
2024,1,Hampshire,24979,227817
2024,2,Hampshire,27558,206149
2024,3,Hampshire,28838,203038
2024,4,Hampshire,28601,224613
2024,5,Hampshire,28742,223669
2024,6,Hampshire,29006,194851
2024,7,Hampshire,30735,214557
2024,8,Hampshire,32243,250582
2024,9,Hampshire,29681,200520
2024,10,Hampshire,35694,246247
2024,11,Hampshire,30076,236664
2024,12,Hampshire,29470,222267
2025,1,Hampshire,24356,248499
2025,2,Hampshire,22158,215586
2025,3,Hampshire,23578,230787
2025,4,Hampshire,23551,247096
2025,5,Hampshire,24327,221883
2025,6,Hampshire,24644,222530
2025,7,Hampshire,23309,224562
2025,8,Hampshire,24868,245196
2025,9,Hampshire,25380,258184
2025,10,Hampshire,32035,260172
2025,11,Hampshire,27895,227863
2025,12,Hampshire,25348,240506
2026,1,Hampshire,23362,199890
2026,2,Hampshire,23610,207100
2026,3,Hampshire,24815,230143
2026,4,Hampshire,25982,239224
2020,10,Springfield,35931,533508
2020,11,Springfield,38465,452402
2020,12,Springfield,25499,409484
2021,1,Springfield,31067,375973
2021,2,Springfield,26433,360665
2021,3,Springfield,28191,298192
2021,4,Springfield,30668,287139
2021,5,Springfield,28397,304238
2021,6,Springfield,29202,270999
2021,7,Springfield,31131,261797
2021,8,Springfield,13848,309760
2021,9,Springfield,15832,230386
2021,10,Springfield,13863,205398
2021,11,Springfield,15148,188421
2021,12,Springfield,14652,175992
2022,1,Springfield,14055,203854
2022,2,Springfield,13689,177629
2022,3,Springfield,18209,231168
2022,4,Springfield,18142,268793
2022,5,Springfield,19296,257523
2022,6,Springfield,19998,259854
2022,7,Springfield,17575,267805
2022,8,Springfield,17161,267632
2022,9,Springfield,19977,250362
2022,10,Springfield,20277,300644
2022,11,Springfield,22468,265713
2022,12,Springfield,19402,225086
2023,1,Springfield,17480,284979
2023,2,Springfield,16168,233722
2023,3,Springfield,19829,280955
