date,unemployment_rate,year,month,region,Month,Labor Force,Employed,Unemployed,Massachusetts Rate,mean_temperature,min_temperature,precipitation(mm),heating_season,summer_break
1990-01-01,6.8,1990,1,Berkshire,,,,,,-0.5419354838709678,-4.493548387096775,115.1,1,0
1990-02-01,6.8,1990,2,Berkshire,,,,,,-1.9142857142857144,-7.585714285714286,107.8,1,0
1990-03-01,7.0,1990,3,Berkshire,,,,,,2.6580645161290324,-2.1580645161290324,93.2,1,0
1990-04-01,6.8,1990,4,Berkshire,,,,,,7.85,3.3766666666666665,112.3,0,0
1990-05-01,6.5,1990,5,Berkshire,,,,,,11.548387096774194,7.129032258064516,201.3,0,0
1990-06-01,6.4,1990,6,Berkshire,,,,,,18.58,13.883333333333333,100.39999999999999,0,1
1990-07-01,6.5,1990,7,Berkshire,,,,,,21.5258064516129,16.80322580645161,65.8,0,1
1990-08-01,6.4,1990,8,Berkshire,,,,,,20.548387096774192,16.635483870967743,186.9,0,1
1990-09-01,6.8,1990,9,Berkshire,,,,,,15.736666666666668,11.576666666666666,67.1,0,0
1990-10-01,7.4,1990,10,Berkshire,,,,,,12.135483870967741,8.422580645161291,103.0,0,0
1990-11-01,8.7,1990,11,Berkshire,,,,,,4.716666666666667,1.2166666666666666,60.0,1,0
1990-12-01,9.7,1990,12,Berkshire,,,,,,0.9451612903225807,-2.629032258064516,175.6,1,0
1991-01-01,11.7,1991,1,Berkshire,,,,,,-4.867741935483871,-9.709677419354838,54.699999999999996,1,0
1991-02-01,12.3,1991,2,Berkshire,,,,,,-1.2428571428571427,-6.121428571428572,67.2,1,0
1991-03-01,12.7,1991,3,Berkshire,,,,,,2.9322580645161294,-1.1258064516129032,122.5,1,0
1991-04-01,11.6,1991,4,Berkshire,,,,,,9.696666666666665,4.713333333333334,91.1,0,0
1991-05-01,11.2,1991,5,Berkshire,,,,,,16.864516129032257,11.438709677419356,84.1,0,0
1991-06-01,10.9,1991,6,Berkshire,,,,,,19.85666666666667,14.676666666666668,81.60000000000001,0,1
1991-07-01,10.1,1991,7,Berkshire,,,,,,21.870967741935484,17.11935483870968,62.3,0,1
1991-08-01,9.6,1991,8,Berkshire,,,,,,21.019354838709678,16.893548387096775,176.5,0,1
1991-09-01,9.8,1991,9,Berkshire,,,,,,15.686666666666667,11.21,132.6,0,0
1991-10-01,9.8,1991,10,Berkshire,,,,,,11.17741935483871,7.196774193548387,99.7,0,0
1991-11-01,10.3,1991,11,Berkshire,,,,,,4.366666666666666,1.2733333333333332,125.0,1,0
1991-12-01,11.3,1991,12,Berkshire,,,,,,-1.2322580645161292,-5.403225806451613,117.00000000000001,1,0
1992-01-01,12.8,1992,1,Berkshire,,,,,,-3.7838709677419353,-8.009677419354839,43.400000000000006,1,0
1992-02-01,12.9,1992,2,Berkshire,,,,,,-3.103448275862069,-7.382758620689655,49.7,1,0
1992-03-01,12.6,1992,3,Berkshire,,,,,,-0.39999999999999997,-5.164516129032258,81.1,1,0
1992-04-01,11.3,1992,4,Berkshire,,,,,,5.776666666666667,1.55,83.6,0,0
1992-05-01,10.8,1992,5,Berkshire,,,,,,13.44516129032258,8.02258064516129,70.3,0,0
1992-06-01,10.6,1992,6,Berkshire,,,,,,17.75,12.633333333333333,76.6,0,1
1992-07-01,9.7,1992,7,Berkshire,,,,,,19.45483870967742,15.193548387096774,163.0,0,1
